# noise_perc_th noise_perc SNR_dB NN_nosym_f1 NN_nosym_f2 NN_postSR_f1_nosym NN_postSR_f2_nosym NN_sym_f1 NN_sym_f2 NN_postSR_f1 NN_postSR_f2 Param_f1 Param_f2
3.5481e+00 3.6788e+00 2.9000e+01 2.5744e-02 2.0277e-02 2.2128e-02 1.7317e-02 7.3781e-03 6.9100e-03 4.4959e-03 5.0645e-03 2.9320e-03 1.0876e-03
3.5481e+00 3.5190e+00 2.9000e+01 1.6121e-02 1.5338e-02 3.8775e-03 1.3736e-02 9.2575e-03 8.4780e-03 2.3472e-03 6.6696e-03 1.1011e-03 9.3745e-04
3.5481e+00 3.6743e+00 2.9000e+01 2.2921e-02 1.5268e-02 1.9292e-02 1.1792e-02 5.9437e-03 4.2583e-03 4.8229e-03 2.4351e-03 2.3083e-03 1.1026e-03
3.5481e+00 3.6324e+00 2.9000e+01 1.7525e-02 1.5691e-02 7.3150e-03 1.2183e-02 6.4178e-03 4.2929e-03 3.4563e-03 2.3897e-03 1.7266e-03 3.8139e-04
3.5481e+00 3.4747e+00 2.9000e+01 1.3945e-02 1.2990e-02 7.5408e-03 8.1321e-03 4.9713e-03 7.4899e-03 2.5830e-03 4.8499e-04 1.7124e-03 1.2404e-03
3.5481e+00 3.4984e+00 2.9000e+01 2.1279e-02 1.5256e-02 1.8826e-02 1.1465e-02 4.9318e-03 4.5220e-03 4.9963e-03 3.4537e-03 1.5798e-03 1.9890e-03
3.5481e+00 3.5287e+00 2.9000e+01 1.2143e-02 1.0933e-02 2.4651e-03 6.5407e-03 4.7428e-03 5.3047e-03 2.0589e-03 3.4187e-03 2.1731e-03 2.7873e-04
3.5481e+00 3.5439e+00 2.9000e+01 2.0693e-02 1.7728e-02 1.6633e-02 1.5427e-02 8.1299e-03 4.3623e-03 5.1752e-03 2.9017e-03 2.8540e-03 2.0208e-04
3.9811e+00 4.0388e+00 2.8000e+01 1.6695e-02 1.2822e-02 9.9043e-03 8.2011e-03 6.0184e-03 4.9289e-03 4.7390e-03 3.4723e-03 9.0543e-04 2.4573e-04
3.9811e+00 3.8305e+00 2.8000e+01 2.0609e-02 1.3085e-02 1.5562e-02 8.2789e-03 8.4339e-03 4.3002e-03 6.5327e-03 3.3282e-05 3.0433e-03 1.7539e-03
3.9811e+00 4.0512e+00 2.8000e+01 1.7606e-02 1.3065e-02 1.6019e-03 1.9715e-03 5.7435e-03 5.6306e-03 1.2160e-03 4.5323e-03 9.3410e-04 2.6445e-03
3.9811e+00 3.9793e+00 2.8000e+01 2.1005e-02 1.9833e-02 1.8148e-02 1.4762e-02 5.2051e-03 8.2672e-03 4.7555e-03 5.3088e-03 3.7371e-03 6.0266e-04
