# noise_perc_th noise_perc SNR_dB Param_f1 Param_f2 SR_f1 SR_f2 SR_CC_f1 SR_CC_f2
5.0119e+00 5.0119e+00 2.6000e+01 7.5701e-03 4.9058e-02 7.8060e-03 1.6777e-02 7.6746e-03 1.5472e-02
5.0119e+00 5.0119e+00 2.6000e+01 6.0125e-05 2.0248e-02 2.0244e-05 1.4455e-02 3.0757e-05 1.4453e-02
5.0119e+00 5.0119e+00 2.6000e+01 4.9365e-03 4.9122e-02 5.3536e-03 9.9504e-03 5.3699e-03 9.9504e-03
5.0119e+00 5.0119e+00 2.6000e+01 1.4935e-03 4.1057e-02 1.6882e-03 1.5075e-02 1.6653e-03 1.5074e-02
5.0119e+00 5.0119e+00 2.6000e+01 4.2003e-03 4.1911e-02 4.5086e-03 1.0579e-02 4.5044e-03 1.0590e-02
5.0119e+00 5.0119e+00 2.6000e+01 3.1487e-03 4.3597e-02 3.3640e-03 1.0085e-02 3.3706e-03 1.0086e-02
5.0119e+00 5.0119e+00 2.6000e+01 2.2454e-05 3.7393e-02 1.3422e-04 2.2499e-02 2.8002e-04 1.0900e-02
5.0119e+00 5.0119e+00 2.6000e+01 6.4433e-04 3.7185e-02 4.8875e-04 2.2568e-02 3.9699e-04 9.9443e-03
5.6234e+00 5.6234e+00 2.5000e+01 1.4201e-02 3.5291e-02 1.3976e-02 2.0216e-02 1.3994e-02 2.0201e-02
5.6234e+00 5.6234e+00 2.5000e+01 8.1729e-04 1.8928e-02 8.5671e-04 1.2676e-02 8.5670e-04 1.2676e-02
5.6234e+00 5.6234e+00 2.5000e+01 4.5503e-03 4.2036e-02 4.7445e-03 9.9128e-03 4.7452e-03 9.9128e-03
5.6234e+00 5.6234e+00 2.5000e+01 6.6613e-03 5.0833e-02 6.8307e-03 1.2216e-02 6.8466e-03 1.2222e-02
5.6234e+00 5.6234e+00 2.5000e+01 9.8635e-03 6.0386e-02 1.7016e-01 1.4951e-02 1.0061e-02 1.5113e-02
5.6234e+00 5.6234e+00 2.5000e+01 7.3065e-03 2.6233e-02 7.4018e-03 1.2193e-02 7.3822e-03 1.2193e-02
5.6234e+00 5.6234e+00 2.5000e+01 5.7778e-03 2.0280e-02 5.7401e-03 1.4148e-02 5.7428e-03 1.4149e-02
5.6234e+00 5.6234e+00 2.5000e+01 3.2529e-03 3.0885e-02 2.9929e-03 1.0434e-02 2.9935e-03 1.0425e-02
5.6234e+00 5.6234e+00 2.5000e+01 6.1030e-03 4.6529e-02 6.3470e-03 1.0104e-02 6.3543e-03 1.0104e-02
5.6234e+00 5.6234e+00 2.5000e+01 5.7753e-03 3.7064e-02 5.8043e-03 2.2422e-02 5.6085e-03 2.3708e-02
6.3096e+00 6.3096e+00 2.4000e+01 9.3528e-03 3.5807e-02 1.1079e-03 2.2573e-02 9.4406e-03 9.9581e-03
6.3096e+00 6.3096e+00 2.4000e+01 1.3709e-02 5.6919e-02 1.8369e-01 1.3906e-02 1.4117e-02 1.4211e-02
6.3096e+00 6.3096e+00 2.4000e+01 2.1766e-03 3.2358e-02 2.2282e-03 1.8242e-02 2.2280e-03 1.8242e-02
6.3096e+00 6.3096e+00 2.4000e+01 1.0115e-03 2.7005e-02 9.2269e-04 1.7045e-02 9.4014e-04 1.3959e-02
6.3096e+00 6.3096e+00 2.4000e+01 6.3864e-03 3.4386e-02 6.5268e-03 9.8028e-03 6.4544e-03 2.2625e-02
6.3096e+00 6.3096e+00 2.4000e+01 1.1235e-02 3.6064e-02 1.1180e-02 2.2413e-02 1.0982e-02 1.6828e-02
6.3096e+00 6.3096e+00 2.4000e+01 5.9794e-03 4.4685e-02 6.2451e-03 2.0266e-02 6.1514e-03 1.0912e-02
6.3096e+00 6.3096e+00 2.4000e+01 1.3631e-02 4.1518e-02 1.7268e-01 1.0343e-02 1.3809e-02 1.0482e-02
6.3096e+00 6.3096e+00 2.4000e+01 7.7050e-03 5.0712e-02 7.8531e-03 2.2396e-02 7.9401e-03 1.0981e-02
6.3096e+00 6.3096e+00 2.4000e+01 1.6723e-02 3.2966e-02 1.8757e-01 1.2531e-02 1.6868e-02 2.4684e-02
7.0795e+00 7.0795e+00 2.3000e+01 1.2051e-02 2.0916e-02 1.7416e-01 1.0447e-02 1.2122e-02 1.0349e-02
7.0795e+00 7.0795e+00 2.3000e+01 9.2120e-04 2.6528e-02 1.6760e-01 1.0245e-02 1.1448e-03 1.0119e-02
7.0795e+00 7.0795e+00 2.3000e+01 9.9340e-03 3.9453e-02 1.0119e-02 1.0397e-02 1.0121e-02 1.0397e-02
7.0795e+00 7.0795e+00 2.3000e+01 2.4271e-03 4.4122e-02 2.6479e-03 1.3679e-02 2.6562e-03 1.3678e-02
7.0795e+00 7.0795e+00 2.3000e+01 1.2910e-02 3.9365e-02 1.7579e-01 1.0044e-02 1.3016e-02 1.0045e-02
7.0795e+00 7.0795e+00 2.3000e+01 3.7188e-03 3.6696e-02 1.7650e-01 1.5820e-02 4.0914e-03 1.5153e-02
7.0795e+00 7.0795e+00 2.3000e+01 1.1868e-02 3.3602e-02 1.7227e-01 1.9164e-02 1.1915e-02 1.9064e-02
7.0795e+00 7.0795e+00 2.3000e+01 1.7751e-02 2.9595e-02 1.7783e-01 9.8390e-03 1.7819e-02 9.8235e-03
7.0795e+00 7.0795e+00 2.3000e+01 1.4231e-03 3.0068e-02 1.8031e-01 1.0097e-02 1.2481e-03 9.9951e-03
7.0795e+00 7.0795e+00 2.3000e+01 8.1103e-03 5.9377e-02 1.7468e-01 1.1909e-02 8.2759e-03 1.2024e-02
