# x	res_f2_nosym	res_f2_sym	res_f2_NN_SR
-1.07124337e+00	-8.37356813e-03	-9.53858561e-03	2.24866532e-03
-1.06746361e+00	-6.67849994e-03	-9.08454574e-03	2.24866532e-03
-1.06304999e+00	-4.58352974e-03	-8.43875817e-03	2.24866532e-03
-1.05805859e+00	-2.06427790e-03	-7.55849995e-03	2.24866532e-03
-1.05254850e+00	8.99988325e-04	-6.40328684e-03	2.24866532e-03
-1.04658234e+00	4.32613253e-03	-4.93589283e-03	2.24866532e-03
-1.04022074e+00	8.22534793e-03	-3.12563396e-03	2.24866532e-03
-1.03352522e+00	5.73768661e-03	-9.47369179e-04	2.24866532e-03
-1.02656170e+00	2.93325750e-03	-1.72074767e-03	2.24866532e-03
-1.01939331e+00	3.58365005e-04	-2.45358097e-03	2.24866532e-03
-1.01205678e+00	-1.95158985e-03	-2.87852962e-03	2.24866532e-03
-1.00463767e+00	-3.95511592e-03	-3.45215330e-03	2.24866532e-03
-9.97204414e-01	-5.62957842e-03	-3.83769609e-03	2.24866532e-03
-9.89827037e-01	-6.96480154e-03	-3.89334811e-03	2.24866532e-03
-9.82577184e-01	-7.96188467e-03	-3.53971549e-03	2.24866532e-03
-9.75507343e-01	-8.63570609e-03	-2.65183189e-03	2.24866532e-03
-9.68651889e-01	-9.00985460e-03	-1.51159028e-03	2.24866532e-03
-9.62087041e-01	-9.11197844e-03	-1.36984172e-03	2.24866532e-03
-9.55870751e-01	-8.97945611e-03	-1.05661301e-03	2.24866532e-03
-9.50049009e-01	-8.65423325e-03	-5.62478042e-04	2.24866532e-03
-9.44658600e-01	-8.18101153e-03	6.74740910e-05	2.24866532e-03
-9.39754223e-01	-7.74132441e-03	-2.62453954e-04	2.24866532e-03
-9.35380051e-01	-7.24439361e-03	-5.79908871e-04	2.24866532e-03
-9.31573966e-01	-6.72483993e-03	-7.69143822e-04	2.24866532e-03
-9.28369317e-01	-6.22442652e-03	-8.65588979e-04	2.24866532e-03
-9.25803399e-01	-5.78241819e-03	-9.01483237e-04	2.24866532e-03
-9.23908071e-01	-5.43260166e-03	-9.04496401e-04	2.24866532e-03
-9.22711175e-01	-5.20129518e-03	-8.96200704e-04	2.24866532e-03
-9.22236732e-01	-5.10743890e-03	-8.90603997e-04	2.24866532e-03
-9.22507806e-01	-5.16142966e-03	-8.93975509e-04	2.24866532e-03
-9.23542715e-01	-5.36283865e-03	-9.02876405e-04	2.24866532e-03
-9.25355466e-01	-5.70157014e-03	-9.03947575e-04	2.24866532e-03
-9.27958864e-01	-6.15609860e-03	-8.73636955e-04	2.24866532e-03
-9.31361196e-01	-6.69338174e-03	-7.77292923e-04	2.24866532e-03
-9.35566401e-01	-7.26790818e-03	-5.68703733e-04	2.24866532e-03
-9.40576547e-01	-7.82256229e-03	-1.90582409e-04	2.24866532e-03
-9.46389029e-01	-8.35084428e-03	-1.52732036e-04	2.24866532e-03
-9.52995800e-01	-8.84307643e-03	-8.36749577e-04	2.24866532e-03
-9.60387664e-01	-9.09790338e-03	-1.30632461e-03	2.24866532e-03
-9.68550149e-01	-9.01330704e-03	-1.49406935e-03	2.24866532e-03
-9.77462165e-01	-8.47877831e-03	-2.92660565e-03	2.24866532e-03
-9.87102002e-01	-7.37606316e-03	-3.83224107e-03	2.24866532e-03
-9.97440928e-01	-5.58131801e-03	-3.83047394e-03	2.24866532e-03
-1.00843949e+00	-2.97003382e-03	-3.12646621e-03	2.24866532e-03
-1.02006650e+00	5.86856514e-04	-2.39839742e-03	2.24866532e-03
-1.03228153e+00	5.21481549e-03	-9.08913558e-04	2.24866532e-03
-1.04503996e+00	5.24812170e-03	-4.52058784e-03	2.24866532e-03
-1.05829308e+00	-2.18629796e-03	-7.60337670e-03	2.24866532e-03
-1.07198572e+00	-8.69547815e-03	-9.61684675e-03	2.24866532e-03
-1.08605022e+00	-1.37690890e-02	-1.19434732e-02	2.24866532e-03
-1.10042818e+00	-1.69944811e-02	-1.41835112e-02	2.24866532e-03
-1.11505142e+00	-2.01883716e-02	-1.50612695e-02	2.24866532e-03
-1.12984727e+00	-2.19640876e-02	-1.44934799e-02	2.24866532e-03
-1.14473721e+00	-2.22527323e-02	-1.24239562e-02	2.24866532e-03
-1.15963025e+00	-2.10182617e-02	-8.83036351e-03	2.24866532e-03
-1.17444350e+00	-1.82594695e-02	-3.78406426e-03	2.24866532e-03
-1.18909127e+00	-1.44045709e-02	-3.23841553e-03	2.24866532e-03
-1.20348348e+00	-9.66843507e-03	-2.78552911e-03	2.24866532e-03
-1.21753105e+00	-3.66171556e-03	-1.19551378e-03	2.24866532e-03
-1.23114120e+00	1.33221313e-03	-5.89559823e-04	2.24866532e-03
-1.24422347e+00	7.42206483e-03	1.28236918e-03	2.24866532e-03
-1.25668563e+00	1.44111086e-02	4.18605096e-03	2.24866532e-03
-1.26843792e+00	2.20751479e-02	3.32281139e-03	2.24866532e-03
-1.27939135e+00	2.75738093e-02	2.20243660e-03	2.24866532e-03
-1.28946548e+00	1.91233544e-02	1.85851137e-03	2.24866532e-03
-1.29857539e+00	1.21570043e-02	4.74255511e-04	2.24866532e-03
-1.30663880e+00	6.52994175e-03	-3.25367255e-04	2.24866532e-03
-1.31359524e+00	2.08531324e-03	-1.12976130e-03	2.24866532e-03
-1.31937104e+00	-1.31459542e-03	-4.48156901e-03	2.24866532e-03
-1.32390479e+00	-3.79926091e-03	-6.22433548e-03	2.24866532e-03
-1.32715737e+00	-5.48136564e-03	-7.37417074e-03	2.24866532e-03
-1.32907784e+00	-6.43487820e-03	-8.01308998e-03	2.24866532e-03
-1.32962835e+00	-6.70269257e-03	-8.19125897e-03	2.24866532e-03
-1.32879221e+00	-6.29489860e-03	-7.92007884e-03	2.24866532e-03
-1.32655811e+00	-5.17782410e-03	-7.16873845e-03	2.24866532e-03
-1.32292054e+00	-3.27417691e-03	-5.86000521e-03	2.24866532e-03
-1.31788990e+00	-4.68205756e-04	-3.87753183e-03	2.24866532e-03
-1.31147839e+00	3.39798476e-03	-7.15331777e-04	2.24866532e-03
-1.30369879e+00	8.52299979e-03	-2.01339412e-05	2.24866532e-03
-1.29459748e+00	1.51194561e-02	9.99473349e-04	2.24866532e-03
-1.28418504e+00	2.34551847e-02	2.00186375e-03	2.24866532e-03
