# noise_perc_th noise_perc SNR_dB SINDy_f1 SINDy_f2 Poly_f1 Poly_f2 Param_f1 Param_f2
7.0795e+00 7.0795e+00 2.3000e+01 1.3671e+00 1.1978e+00 1.0559e+00 1.6273e+00 3.5295e-01 2.8906e-02
7.0795e+00 7.0795e+00 2.3000e+01 1.2878e+00 1.1536e+00 9.8938e-01 1.7686e+00 3.4396e-01 3.6467e-02
7.0795e+00 7.0795e+00 2.3000e+01 1.4354e+00 1.1243e+00 1.0823e+00 1.5764e+00 3.3356e-01 2.7580e-02
7.0795e+00 7.0795e+00 2.3000e+01 1.3283e+00 1.1530e+00 1.0176e+00 1.6896e+00 3.6622e-01 2.0955e-02
7.0795e+00 7.0795e+00 2.3000e+01 1.4285e+00 1.1775e+00 1.0655e+00 1.6941e+00 3.4492e-01 5.3378e-02
7.9433e+00 7.9433e+00 2.2000e+01 1.4835e+00 1.1428e+00 1.1011e+00 1.5883e+00 3.5224e-01 3.5572e-02
7.9433e+00 7.9433e+00 2.2000e+01 1.5997e+00 1.1350e+00 1.3728e+00 1.5205e+00 3.7411e-01 1.3328e-02
7.9433e+00 7.9433e+00 2.2000e+01 1.3438e+00 1.1784e+00 1.0469e+00 1.5911e+00 3.7204e-01 3.5030e-02
7.9433e+00 7.9433e+00 2.2000e+01 1.5279e+00 1.1237e+00 1.0495e+00 1.7120e+00 3.8628e-01 3.5713e-02
7.9433e+00 7.9433e+00 2.2000e+01 1.3344e+00 1.1783e+00 1.0843e+00 1.5023e+00 3.5432e-01 3.7373e-02
7.9433e+00 7.9433e+00 2.2000e+01 1.3833e+00 1.1529e+00 1.0497e+00 1.6261e+00 3.4973e-01 3.9512e-02
7.9433e+00 7.9433e+00 2.2000e+01 1.3668e+00 1.1697e+00 1.0204e+00 1.7130e+00 3.6446e-01 3.5282e-02
7.9433e+00 7.9433e+00 2.2000e+01 1.2819e+00 1.2711e+00 1.0515e+00 1.5965e+00 3.3281e-01 4.1102e-02
7.9433e+00 7.9433e+00 2.2000e+01 1.4287e+00 1.1128e+00 1.0139e+00 1.7749e+00 3.4545e-01 2.3552e-02
