# noise_perc_th noise_perc SNR_dB SINDy_ku0_f1 SINDy_ku0_f2 SINDy_f1 SINDy_f2 SINDy_Sym_f1 SINDy_Sym_f2 SINDy_Sym_f1_SR SINDy_Sym_f2_SR Poly_f1 Poly_f2 Param_f1 Param_f2
2.5119e+00 2.5119e+00 3.2000e+01 1.6198e-01 1.2003e+01 3.0385e-01 2.8104e-01 2.5753e-01 2.0366e-01 2.4485e-01 1.9750e-01 2.3031e-01 5.2511e-01 1.4655e-03 4.3725e-02
2.5119e+00 2.5119e+00 3.2000e+01 1.6353e-01 6.7846e+00 2.9935e-01 2.8396e-01 2.5975e-01 2.0497e-01 2.1216e-01 2.0752e-01 2.1837e-01 5.1709e-01 3.4778e-03 4.3445e-02
2.8184e+00 2.8184e+00 3.1000e+01 1.6708e-01 1.0667e+01 3.0822e-01 2.7734e-01 2.5955e-01 1.9283e-01 2.6369e-01 1.9577e-01 2.1060e-01 5.0316e-01 8.5051e-03 3.1762e-02
2.8184e+00 2.8184e+00 3.1000e+01 1.6456e-01 1.3316e+01 2.9877e-01 2.9535e-01 2.6021e-01 2.0381e-01 2.5784e-01 2.0112e-01 2.2519e-01 5.2216e-01 2.8588e-04 4.5464e-02
2.8184e+00 2.8184e+00 3.1000e+01 1.7292e-01 1.4576e+00 2.9198e-01 2.7866e-01 2.6236e-01 1.9221e-01 2.3276e-01 1.9494e-01 2.3293e-01 5.2679e-01 7.6218e-04 3.6184e-02
2.8184e+00 2.8184e+00 3.1000e+01 1.7133e-01 3.2214e+00 3.0224e-01 2.6525e-01 2.7058e-01 1.8307e-01 2.5382e-01 1.8877e-01 2.2193e-01 5.0593e-01 1.4224e-03 3.1283e-02
2.8184e+00 2.8184e+00 3.1000e+01 1.6544e-01 1.3920e+00 3.1491e-01 2.8342e-01 2.5988e-01 1.9525e-01 2.6308e-01 1.9796e-01 2.1981e-01 5.1351e-01 2.5486e-03 3.5762e-02
2.8184e+00 2.8184e+00 3.1000e+01 1.6494e-01 7.5358e+00 2.9517e-01 2.8782e-01 2.5592e-01 2.0098e-01 2.3737e-01 1.9753e-01 2.3266e-01 5.2735e-01 2.6206e-03 4.1179e-02
2.8184e+00 2.8184e+00 3.1000e+01 1.6765e-01 2.3936e+00 2.9262e-01 2.7575e-01 2.4927e-01 1.9353e-01 2.2804e-01 1.9027e-01 2.2768e-01 5.3017e-01 3.7811e-03 3.4706e-02
2.8184e+00 2.8184e+00 3.1000e+01 1.6677e-01 2.3537e+00 3.2181e-01 2.8401e-01 2.4953e-01 1.9449e-01 2.3938e-01 1.9226e-01 1.8922e-01 4.9264e-01 6.8676e-03 3.5489e-02
2.8184e+00 2.8184e+00 3.1000e+01 1.6139e-01 4.7861e+00 3.1186e-01 2.6826e-01 2.6243e-01 1.8911e-01 2.2384e-01 1.8933e-01 2.2030e-01 5.0824e-01 5.2409e-04 3.2959e-02
2.8184e+00 2.8184e+00 3.1000e+01 1.6806e-01 1.9522e+00 3.0149e-01 2.7309e-01 2.6548e-01 1.9822e-01 2.5845e-01 1.9668e-01 2.3330e-01 5.2606e-01 6.2394e-04 3.7491e-02
3.1623e+00 3.1623e+00 3.0000e+01 1.6936e-01 5.5370e+00 2.7587e-01 2.8488e-01 2.5257e-01 2.0304e-01 2.3505e-01 1.9901e-01 2.3117e-01 5.3452e-01 6.2111e-04 4.2274e-02
3.1623e+00 3.1623e+00 3.0000e+01 1.6859e-01 7.5522e+00 2.8478e-01 2.9909e-01 2.5696e-01 2.1443e-01 2.5630e-01 2.0365e-01 2.2807e-01 5.3875e-01 5.3578e-03 4.3905e-02
3.1623e+00 3.1623e+00 3.0000e+01 1.6497e-01 5.1002e+00 3.0241e-01 2.9690e-01 2.4751e-01 1.9816e-01 2.3619e-01 1.9378e-01 2.0077e-01 5.0914e-01 4.7804e-03 3.8254e-02
3.1623e+00 3.1623e+00 3.0000e+01 1.7202e-01 2.9104e+00 3.1709e-01 2.6650e-01 2.5734e-01 1.9141e-01 2.3338e-01 1.9583e-01 2.1076e-01 5.1119e-01 2.4404e-03 3.5347e-02
3.1623e+00 3.1623e+00 3.0000e+01 1.6672e-01 3.8763e+00 2.8791e-01 3.0287e-01 2.5021e-01 2.1023e-01 2.2846e-01 2.0600e-01 2.3581e-01 5.3809e-01 1.2988e-03 4.5194e-02
3.1623e+00 3.1623e+00 3.0000e+01 1.6217e-01 3.4656e+00 3.1766e-01 2.7019e-01 2.5267e-01 1.8321e-01 2.4123e-01 1.7624e-01 2.2160e-01 5.0427e-01 3.5984e-04 3.1642e-02
3.1623e+00 3.1623e+00 3.0000e+01 1.6567e-01 2.7865e+00 3.1269e-01 2.6701e-01 2.7036e-01 1.8510e-01 2.4927e-01 1.8635e-01 2.1009e-01 4.8752e-01 5.6064e-04 3.2386e-02
3.1623e+00 3.1623e+00 3.0000e+01 1.6556e-01 2.0695e+00 3.1388e-01 2.8316e-01 2.4667e-01 2.0525e-01 2.3306e-01 2.0065e-01 2.2302e-01 5.3875e-01 3.6137e-03 3.8683e-02
3.1623e+00 3.1623e+00 3.0000e+01 1.7016e-01 7.4578e+00 3.0649e-01 2.8441e-01 2.6241e-01 1.9467e-01 2.4757e-01 1.9501e-01 2.2783e-01 5.1897e-01 4.8256e-03 3.7830e-02
